comp,market,family,p,y
uefa.euro,goals_over_0.5,goals,0.9403,1
uefa.euro,goals_under_0.5,goals,0.0597,0
uefa.euro,goals_over_1.5,goals,0.7711,1
uefa.euro,goals_under_1.5,goals,0.2289,0
uefa.euro,goals_over_2.5,goals,0.53165,1
uefa.euro,goals_under_2.5,goals,0.46835,0
uefa.euro,goals_over_3.5,goals,0.31115,1
uefa.euro,goals_under_3.5,goals,0.68885,0
uefa.euro,goals_over_4.5,goals,0.15615,1
uefa.euro,goals_under_4.5,goals,0.84385,0
uefa.euro,btts_yes,goals,0.4933,1
uefa.euro,btts_no,goals,0.5066999999999999,0
uefa.euro,team_goals_Germany_over_0.5,goals,0.8638,1
uefa.euro,team_goals_Germany_over_1.5,goals,0.58675,1
uefa.euro,team_goals_Germany_over_2.5,goals,0.3134,1
uefa.euro,team_goals_Scotland_over_0.5,goals,0.5698,1
uefa.euro,team_goals_Scotland_over_1.5,goals,0.2057,0
uefa.euro,team_goals_Scotland_over_2.5,goals,0.05425,0
uefa.euro,corners_over_7.5,corners,0.5891,0
uefa.euro,corners_under_7.5,corners,0.4109,1
uefa.euro,corners_over_8.5,corners,0.51385,0
uefa.euro,corners_under_8.5,corners,0.48615,1
uefa.euro,corners_over_9.5,corners,0.4412,0
uefa.euro,corners_under_9.5,corners,0.5588,1
uefa.euro,corners_over_10.5,corners,0.3736,0
uefa.euro,corners_under_10.5,corners,0.6264,1
uefa.euro,corners_over_11.5,corners,0.3133,0
uefa.euro,corners_under_11.5,corners,0.6867,1
uefa.euro,team_corners_Germany_over_2.5,corners,0.73705,1
uefa.euro,team_corners_Germany_over_3.5,corners,0.6195,1
uefa.euro,team_corners_Germany_over_4.5,corners,0.51185,1
uefa.euro,team_corners_Germany_over_5.5,corners,0.4147,0
uefa.euro,team_corners_Scotland_over_2.5,corners,0.5933,0
uefa.euro,team_corners_Scotland_over_3.5,corners,0.4632,0
uefa.euro,team_corners_Scotland_over_4.5,corners,0.35705,0
uefa.euro,team_corners_Scotland_over_5.5,corners,0.26955,0
uefa.euro,cards_over_2.5,cards,0.5975,1
uefa.euro,cards_under_2.5,cards,0.4025,0
uefa.euro,cards_over_3.5,cards,0.3695,1
uefa.euro,cards_under_3.5,cards,0.6305,0
uefa.euro,cards_over_4.5,cards,0.199,0
uefa.euro,cards_under_4.5,cards,0.801,1
uefa.euro,cards_over_5.5,cards,0.09155,0
uefa.euro,cards_under_5.5,cards,0.90845,1
uefa.euro,team_cards_Germany_over_0.5,cards,0.8196,1
uefa.euro,team_cards_Germany_over_1.5,cards,0.50655,1
uefa.euro,team_cards_Germany_over_2.5,cards,0.23765,0
uefa.euro,team_cards_Scotland_over_0.5,cards,0.75375,1
uefa.euro,team_cards_Scotland_over_1.5,cards,0.4031,1
uefa.euro,team_cards_Scotland_over_2.5,cards,0.16445,0
uefa.euro,team_shots_Germany_over_8.5,shots,0.67985,1
uefa.euro,team_shots_Germany_over_10.5,shots,0.55525,1
uefa.euro,team_shots_Germany_over_12.5,shots,0.4358,1
uefa.euro,team_sot_Germany_over_2.5,shots,0.82085,1
uefa.euro,team_sot_Germany_over_3.5,shots,0.70795,1
uefa.euro,team_sot_Germany_over_4.5,shots,0.58795,1
uefa.euro,team_shots_Scotland_over_8.5,shots,0.58905,0
uefa.euro,team_shots_Scotland_over_10.5,shots,0.4603,0
uefa.euro,team_shots_Scotland_over_12.5,shots,0.3484,0
uefa.euro,team_sot_Scotland_over_2.5,shots,0.51755,0
uefa.euro,team_sot_Scotland_over_3.5,shots,0.37205,0
uefa.euro,team_sot_Scotland_over_4.5,shots,0.261,0
uefa.euro,shots_over_20.5,shots,0.5829,1
uefa.euro,shots_under_20.5,shots,0.4171,0
uefa.euro,shots_over_22.5,shots,0.4967,0
uefa.euro,shots_under_22.5,shots,0.5033,1
uefa.euro,shots_over_24.5,shots,0.4115,0
uefa.euro,shots_under_24.5,shots,0.5885,1
uefa.euro,shots_over_26.5,shots,0.3375,0
uefa.euro,shots_under_26.5,shots,0.6625,1
uefa.euro,sot_over_5.5,shots,0.7701,1
uefa.euro,sot_under_5.5,shots,0.2299,0
uefa.euro,sot_over_6.5,shots,0.6847,1
uefa.euro,sot_under_6.5,shots,0.3153,0
uefa.euro,sot_over_7.5,shots,0.5923,1
uefa.euro,sot_under_7.5,shots,0.4077,0
uefa.euro,sot_over_8.5,shots,0.5038,1
uefa.euro,sot_under_8.5,shots,0.4962,0
uefa.euro,fouls_over_19.5,fouls,0.56915,1
uefa.euro,fouls_under_19.5,fouls,0.43085,0
uefa.euro,fouls_over_21.5,fouls,0.44845,1
uefa.euro,fouls_under_21.5,fouls,0.55155,0
uefa.euro,fouls_over_23.5,fouls,0.33855,1
uefa.euro,fouls_under_23.5,fouls,0.66145,0
uefa.euro,result_Germany,result,0.6393,1
uefa.euro,result_draw,result,0.21265,0
uefa.euro,result_Scotland,result,0.14805,0
uefa.euro,double_chance_Germany_draw,result,0.85195,1
uefa.euro,double_chance_Scotland_draw,result,0.3607,0
uefa.euro,double_chance_Germany_Scotland,result,0.78735,1
uefa.euro,dnb_Germany,result,0.8119641836540293,1
uefa.euro,dnb_Scotland,result,0.18803581634597064,0
uefa.euro,win_margin_Germany_1,result,0.25105,0
uefa.euro,win_margin_Germany_2,result,0.1964,0
uefa.euro,win_margin_Germany_3plus,result,0.19185,1
uefa.euro,win_margin_Scotland_1,result,0.1044,0
uefa.euro,win_margin_Scotland_2,result,0.0326,0
uefa.euro,win_margin_Scotland_3plus,result,0.01105,0
uefa.euro,score_0_0,result,0.0597,0
uefa.euro,score_0_1,result,0.04905,0
uefa.euro,score_1_0,result,0.12015,0
uefa.euro,score_1_1,result,0.10255,0
uefa.euro,score_1_2,result,0.0407,0
uefa.euro,score_2_0,result,0.11705,0
uefa.euro,score_2_1,result,0.0991,0
uefa.euro,score_2_2,result,0.04145,0
uefa.euro,score_3_0,result,0.07435,0
uefa.euro,score_3_1,result,0.0637,0
uefa.euro,score_3_2,result,0.02725,0
uefa.euro,score_4_0,result,0.0384,0
uefa.euro,score_4_1,result,0.03275,0
uefa.euro,goals_range_0_1,goals,0.2289,0
uefa.euro,goals_range_2_3,goals,0.45995,0
uefa.euro,goals_range_2_4,goals,0.61495,0
uefa.euro,goals_range_1_3,goals,0.62915,0
uefa.euro,goals_4plus,goals,0.31115,1
uefa.euro,team_goals_range_Germany_0_1,goals,0.41325,0
uefa.euro,team_goals_range_Germany_2plus,goals,0.58675,1
uefa.euro,team_goals_range_Scotland_0_1,goals,0.7943,1
uefa.euro,team_goals_range_Scotland_2plus,goals,0.2057,0
uefa.euro,goals_1h_over_0.5,goals,0.71545,1
uefa.euro,goals_1h_under_0.5,goals,0.28455,0
uefa.euro,goals_2h_over_0.5,goals,0.7883,1
uefa.euro,goals_1h_over_1.5,goals,0.36095,1
uefa.euro,goals_1h_under_1.5,goals,0.63905,0
uefa.euro,goals_2h_over_1.5,goals,0.4571,1
uefa.euro,goals_1h_over_2.5,goals,0.1332,1
uefa.euro,goals_1h_under_2.5,goals,0.8668,0
uefa.euro,goals_2h_over_2.5,goals,0.2042,1
uefa.euro,goal_both_halves,goals,0.56345,1
uefa.euro,half_most_goals_1h,result,0.30855,0
uefa.euro,half_most_goals_2h,result,0.44175,0
uefa.euro,half_most_goals_tie,result,0.2497,1
uefa.euro,ht_score_0_0,result,0.28455,0
uefa.euro,ht_score_0_1,result,0.10515,0
uefa.euro,ht_score_1_0,result,0.24935,0
uefa.euro,ht_score_1_1,result,0.09645,0
uefa.euro,ht_score_2_0,result,0.1125,0
uefa.euro,ht_score_2_1,result,0.04455,0
uefa.euro,htft_HH,result,0.41095,1
uefa.euro,htft_HD,result,0.04275,0
uefa.euro,htft_HA,result,0.0094,0
uefa.euro,htft_DH,result,0.1997,0
uefa.euro,htft_DD,result,0.12915,0
uefa.euro,htft_DA,result,0.0601,0
uefa.euro,htft_AH,result,0.02865,0
uefa.euro,htft_AD,result,0.04075,0
uefa.euro,htft_AA,result,0.07855,0
uefa.euro,cards_1h_over_0.5,cards,0.6595,1
uefa.euro,cards_1h_under_0.5,cards,0.3405,0
uefa.euro,cards_1h_over_1.5,cards,0.29625,1
uefa.euro,cards_1h_under_1.5,cards,0.70375,0
uefa.euro,cards_1h_over_2.5,cards,0.0965,1
uefa.euro,cards_1h_under_2.5,cards,0.9035,0
uefa.euro,corners_3w_over_4,corners,0.8247,1
uefa.euro,corners_3w_exactly_4,corners,0.06535,0
uefa.euro,corners_3w_under_4,corners,0.10995,0
uefa.euro,corners_3w_over_5,corners,0.7502,0
uefa.euro,corners_3w_exactly_5,corners,0.0745,0
uefa.euro,corners_3w_under_5,corners,0.1753,0
uefa.euro,corners_3w_over_6,corners,0.66975,0
uefa.euro,corners_3w_exactly_6,corners,0.08045,1
uefa.euro,corners_3w_under_6,corners,0.2498,1
uefa.euro,corners_3w_over_7,corners,0.5891,0
uefa.euro,corners_3w_exactly_7,corners,0.08065,1
uefa.euro,corners_3w_under_7,corners,0.33025,1
uefa.euro,corners_3w_over_8,corners,0.51385,0
uefa.euro,corners_3w_exactly_8,corners,0.07525,1
uefa.euro,corners_3w_under_8,corners,0.4109,1
uefa.euro,corners_3w_over_9,corners,0.4412,0
uefa.euro,corners_3w_exactly_9,corners,0.07265,1
uefa.euro,corners_3w_under_9,corners,0.48615,1
uefa.euro,corners_3w_over_10,corners,0.3736,0
uefa.euro,corners_3w_exactly_10,corners,0.0676,1
uefa.euro,corners_3w_under_10,corners,0.5588,1
uefa.euro,corners_3w_over_11,corners,0.3133,0
uefa.euro,corners_3w_exactly_11,corners,0.0603,1
uefa.euro,corners_3w_under_11,corners,0.6264,1
uefa.euro,corners_3w_over_12,corners,0.25935,0
uefa.euro,corners_3w_exactly_12,corners,0.05395,1
uefa.euro,corners_3w_under_12,corners,0.6867,1
uefa.euro,most_corners_Germany,corners,0.5684,1
uefa.euro,most_corners_Scotland,corners,0.34545,0
uefa.euro,most_corners_tie,corners,0.08615,0
uefa.euro,btt_cards_yes,cards,0.61865,1
uefa.euro,btt_cards_no,cards,0.38134999999999997,0
uefa.euro,most_cards_Germany,cards,0.44615,0
uefa.euro,most_cards_Scotland,cards,0.3158,0
uefa.euro,most_cards_tie,cards,0.23805,1
uefa.euro,red_card_yes,fouls,0.1019,1
uefa.euro,red_card_no,fouls,0.8981,0
uefa.euro,cards_over_1.5,cards,0.81855,1
uefa.euro,cards_under_1.5,cards,0.18145,0
uefa.euro,cards_over_6.5,cards,0.0367,0
uefa.euro,cards_under_6.5,cards,0.9633,1
uefa.euro,cards_over_7.5,cards,0.01285,0
uefa.euro,cards_under_7.5,cards,0.98715,1
uefa.euro,offsides_over_1.5,offsides,0.87635,1
