nname,mins,club_yc90,club_g90,club_a90
aaron anselmino,603,0.1493,0.1493,0.1493
aaron appindangoye,1787,0.0504,0.0,0.0504
aaron bibout,817,0.0,0.3305,0.0
aaron bouwman,832,0.3245,0.1082,0.0
aaron cresswell,1509,0.2982,0.0596,0.0
aaron donnelly,2131,0.1689,0.0422,0.0422
aaron escandell,3482,0.0775,0.0,0.0258
aaron essel,835,0.5389,0.0,0.1078
aaron hickey,1018,0.0884,0.0884,0.0
aaron leya iseka,1367,0.3292,0.4609,0.1317
aaron martin,6498,0.1247,0.0139,0.2078
aaron meijers,2584,0.1393,0.0,0.0697
aaron ramsdale,4993,0.0901,0.0,0.0
aaron seydel,461,0.0,0.3905,0.0
aaron tshibola,1465,0.3072,0.0614,0.0
aaron wan bissaka,7197,0.1125,0.025,0.1125
aaron zehnter,1534,0.0587,0.1173,0.0
abakar gadzhiev,1695,0.4779,0.2124,0.1062
abakar sylla,2025,0.1778,0.0889,0.0
abat aymbetov,1557,0.289,0.3468,0.0
abbosbek fayzullaev,4505,0.1998,0.1798,0.3596
abdallah sima,2825,0.2549,0.446,0.1274
abde ezzalzouli,6304,0.1142,0.2855,0.2713
abde rebbach,2383,0.3777,0.0755,0.2266
abdel abqar,4988,0.5052,0.0,0.0541
abdelhamid ait boudlal,1402,0.1926,0.1284,0.0642
abdelkahar kadri,4119,0.284,0.1092,0.284
abdon prats,1928,0.2801,0.4668,0.0467
abdou harroui,2142,0.2521,0.1261,0.2101
abdoul kader ouattara,816,0.1103,0.4412,0.0
abdoul karim traore,603,0.4478,0.0,0.0
abdoul ouattara,2334,0.1157,0.1157,0.0771
abdoulay diaby,1485,0.2424,0.1212,0.1212
abdoulaye bamba,1766,0.1529,0.0,0.0
abdoulaye camara,615,0.0,0.1463,0.0
abdoulaye diaby,599,0.1503,0.0,0.0
abdoulaye doucoure,3840,0.1875,0.0938,0.0703
abdoulaye faye,1446,0.4979,0.0,0.0
abdoulaye ndiaye,2757,0.2612,0.0326,0.0
abdoulaye sissako,4872,0.1847,0.0554,0.0739
abdoulaye toure,4099,0.2196,0.3074,0.022
abdoulie ceesay,793,0.9079,0.681,0.3405
abdu conte,1456,0.0618,0.0,0.1236
abdukodir khusanov,5212,0.2417,0.0173,0.0
abdul fatawu,584,0.0,0.0,0.3082
abdul mumin,3298,0.2729,0.0546,0.0273
abdul rahman baba,7371,0.1465,0.1832,0.0733
abdula bagamaev,459,0.1961,0.0,0.0
abdulkadir omur,1624,0.1108,0.0,0.1663
abdulkadir parmak,2189,0.2056,0.0822,0.0822
abdulkerim bardakc,8231,0.164,0.0875,0.0437
abdullah yigiter,1800,0.1,0.0,0.0
abdulpasha dzhabrailov,1649,0.3275,0.0,0.0
abdulsamet burak,3262,0.3587,0.0,0.0552
abdurrahim dursun,1437,0.2505,0.0,0.0626
abel bretones,4098,0.1757,0.0659,0.0439
abel ruiz,3481,0.181,0.2585,0.0517
abner,4597,0.1566,0.1175,0.0979
aboubakary koita,3829,0.2586,0.188,0.188
abraham marcus,2576,0.0699,0.1747,0.1747
abu francis,2707,0.133,0.0,0.133
abubakr barry,522,0.3448,0.1724,0.0
achilleas poungouras,2921,0.1849,0.0,0.0
achraf dari,558,0.1613,0.1613,0.0
achraf hakimi,8524,0.1689,0.1478,0.2851
adam armstrong,2645,0.2382,0.1361,0.1361
adam aznou,933,0.2894,0.0,0.0965
adam buksa,5369,0.2347,0.3855,0.0168
adam carlen,1270,0.3543,0.0,0.0709
adam daghim,2097,0.1717,0.1717,0.1288
adam devine,565,0.0,0.1593,0.1593
adam dzwigala,1707,0.3691,0.1054,0.0527
adam forrester,1652,0.2724,0.0,0.0545
adam gabriel,1790,0.1508,0.1006,0.1508
adam gnezda cerin,4829,0.1864,0.0745,0.0559
adam hlozek,3098,0.1162,0.3486,0.1743
adam idah,3065,0.1468,0.646,0.0881
adam kaied,461,0.0,0.1952,0.0
adam karabec,1399,0.193,0.193,0.193
adam lallana,826,0.5448,0.0,0.2179
adam lundkvist,1179,0.1527,0.0763,0.0763
adam marusic,8665,0.0415,0.0623,0.0312
adam masina,3872,0.1395,0.0232,0.093
adam montgomery,757,0.2378,0.0,0.2378
adam nygaard,1137,0.0792,0.0,0.0
adam obert,4742,0.2278,0.019,0.0949
adam smith,4437,0.3245,0.0,0.0406
adam srensen,1538,0.1756,0.0585,0.2926
adam tzanetopoulos,801,0.2247,0.0,0.0
adam webster,2029,0.1774,0.0444,0.0
adam wharton,6069,0.1335,0.0148,0.1631
adama boiro,2805,0.1604,0.0321,0.0321
adama camara,2172,0.3315,0.0414,0.0
adama sidibeh,2497,0.2163,0.2163,0.0721
adama traore,4294,0.2096,0.1258,0.3354
adamo nagalo,1528,0.2945,0.0,0.0
adedire mebude,1797,0.0501,0.3005,0.2504
adem arous,1672,0.1077,0.0538,0.0538
adem zorgane,5839,0.1233,0.0462,0.1387
ademola lookman,7344,0.1103,0.5515,0.2941
aderllan santos,4711,0.191,0.0382,0.0191
adi nalic,942,0.2866,0.1911,0.0
adil demirbag,5860,0.3225,0.0614,0.0768
admir bristric,453,1.1921,0.0,0.3974
adnan januzaj,1078,0.5009,0.334,0.0835
adnane abid,1313,0.2742,0.1371,0.0685
ado onaiwu,945,0.0952,0.381,0.0952
adolfo gaich,2690,0.1338,0.3346,0.0335
adria altimira,2193,0.2873,0.041,0.041
adria pedrosa,4648,0.2711,0.0387,0.0775
adrian balboa,810,0.3333,0.3333,0.0
adrian beck,2997,0.0601,0.1802,0.1201
adrian benedyczak,1998,0.0901,0.5405,0.1351
adrian bernabe,4027,0.0447,0.0894,0.067
adrian blake,2223,0.2024,0.3644,0.2024
adrian butzke,706,0.255,0.0,0.1275
adrian chovan,990,0.0,0.0,0.0
adrian dela,2890,0.1869,0.0934,0.0311
adrian embarba,3127,0.2303,0.1439,0.0863
adrian kappenberger,450,0.0,0.0,0.0
adrian leon barisic,903,0.1993,0.0,0.0
adrian liso,1801,0.1999,0.1499,0.1499
adrian marin,1516,0.0594,0.0594,0.1187
adrian pereira,455,0.0,0.0,0.3956
adrian pica,586,0.1536,0.0,0.0
adrian riera,1593,0.1695,0.0565,0.0565
adrian san miguel,2250,0.04,0.0,0.0
adrian semper,2340,0.0,0.0,0.0
adrian skogmar,709,0.1269,0.0,0.0
adrian sut,893,0.2016,0.1008,0.0
adrian svanback,525,0.1714,0.3429,0.3429
adriano bertaccini,3588,0.301,0.5017,0.1505
adriano firmino,2655,0.2712,0.0,0.0678
adriel,1440,0.125,0.0,0.0625
adrien rabiot,6965,0.168,0.2197,0.1292
adrien tameze,3060,0.2353,0.0,0.0
adrien thomasson,5786,0.2955,0.0933,0.2955
adrien truffert,7386,0.1584,0.0366,0.1097
adryelson,728,0.1236,0.1236,0.0
adu ares,541,0.1664,0.4991,0.1664
afimico pululu,767,0.352,0.704,0.1173
afonso assis,898,0.4009,0.1002,0.1002
afonso moreira,2149,0.1675,0.2513,0.4188
agon mucolli,835,0.1078,0.4311,0.1078
agustin moreira,1031,0.2619,0.1746,0.0873
ahmed hassan,1771,0.2541,0.5082,0.1525
ahmed ildz,1059,0.17,0.255,0.17
ahmed kutucu,2043,0.3965,0.3965,0.3524
ahmed ouattara kossonou,1012,0.4447,0.0,0.0889
ahmed qasem,1006,0.1789,0.2684,0.0895
ahmed touba,5315,0.2371,0.0339,0.0169
ahmet aslan,1191,0.1511,0.0756,0.0756
ahmet oguz,3032,0.3859,0.0,0.0891
ahmetcan kaplan,4224,0.3409,0.0426,0.0213
aidan denholm,826,0.0,0.0,0.109
aiden o'neill,2489,0.3254,0.0362,0.0362
aiham ousou,5152,0.2096,0.0349,0.0
aihen munoz,3508,0.3335,0.0257,0.0
aimar oroz,6538,0.2065,0.0964,0.0826
aimen moueffek,1041,0.1729,0.0,0.0865
ainsley maitland niles,7109,0.1139,0.0506,0.1772
aissa mandi,6384,0.2538,0.0141,0.0
aitor cantalapiedra,465,0.1935,0.3871,0.1935
aitor fernandez,1402,0.0642,0.0,0.0
aitor paredes,7264,0.2354,0.0867,0.0248
aitor ruibal,4679,0.2693,0.1539,0.1346
aiyegun tosin,1348,0.0668,0.3338,0.0668
ajdi dajko,2649,0.1359,0.034,0.068
ajdin hrustic,3692,0.2194,0.1219,0.1706
akil wright,3090,0.1165,0.1165,0.0
akor adams,4739,0.095,0.3039,0.1899
alaa bellaarouch,1440,0.0625,0.0,0.0
alaa ghram,1523,0.1773,0.0591,0.0
alaaddin okumus,725,0.1241,0.0,0.0
aladji bamba,971,0.1854,0.0,0.1854
alan,6541,0.2339,0.1789,0.1514
alan forrest,2473,0.0728,0.0728,0.2184
alan matturro,2047,0.0879,0.044,0.044
alan minda,3218,0.028,0.2517,0.2797
alan nunez,1672,0.1077,0.0538,0.1077
alan ruiz,1476,0.7927,0.061,0.122
alan varela,7617,0.2718,0.0473,0.0591
alan virginius,1639,0.0549,0.0549,0.2196
alassane ndao,3670,0.1962,0.1471,0.0981
alassane plea,2945,0.0917,0.3667,0.3362
alban lafont,5385,0.0669,0.0,0.0
albert gabaraev,566,0.159,0.0,0.159
albert grnbk,1681,0.1071,0.1606,0.1606
albert gudmundsson,5282,0.1193,0.3237,0.1363
albert sambi lokonga,4311,0.2296,0.1253,0.0835
alberto botia,744,0.6048,0.0,0.0
alberto brignoli,1200,0.225,0.0,0.0
alberto cerri,634,0.2839,0.142,0.0
alberto costa,4605,0.2736,0.0195,0.2932
alberto dossena,4130,0.2397,0.0,0.1308
alberto grassi,4922,0.2377,0.0183,0.0183
alberto mari,517,0.1741,0.3482,0.1741
alberto moleiro,6979,0.1676,0.2321,0.1032
alberto moreno,4362,0.2682,0.0825,0.0619
alberto paleari,2970,0.0303,0.0,0.0
alberto reina,2536,0.142,0.142,0.0355
alberto soro,676,0.1331,0.3994,0.1331
albian ajeti,516,0.1744,0.1744,0.1744
albian hajdari,2583,0.3833,0.0348,0.0697
albion rrahmani,597,0.4523,0.7538,0.0
alec van hoorenbeeck,4313,0.1878,0.1252,0.0
aleix febas,3256,0.2764,0.0553,0.0553
aleix garcia,7985,0.2029,0.124,0.1916
alejandro balde,6774,0.093,0.0266,0.1727
alejandro catena,7878,0.3085,0.0457,0.08
alejandro frances,2901,0.1861,0.0,0.062
alejandro garnacho,7594,0.1067,0.2489,0.1659
alejandro grimaldo,10032,0.1346,0.1884,0.3409
alejandro marques,3635,0.099,0.4704,0.0248
alejandro rego,2058,0.3061,0.0437,0.0437
alejo veliz,1334,0.2699,0.2699,0.0
aleksa djurasovic,3638,0.099,0.0247,0.0247
aleksa terzic,1140,0.0,0.0789,0.0789
aleksandar jovanovic,2145,0.1259,0.0,0.0
aleksandar jukic,2010,0.0896,0.1791,0.1343
aleksandar pavlovic,6365,0.1697,0.099,0.0424
aleksandar radovanovic,571,0.3152,0.0,0.0
aleksandar sedlar,714,0.1261,0.0,0.0
aleksandar stankovic,3380,0.0533,0.1864,0.1065
aleksandr belenov,2160,0.125,0.0,0.0
aleksandr chernikov,5200,0.3981,0.0519,0.0692
aleksandr degtev,1890,0.0952,0.0,0.0
aleksandr ektov,2317,0.1942,0.0388,0.0777
aleksandr erokhin,1564,0.2302,0.5754,0.2302
aleksandr filin,5332,0.1182,0.0169,0.0
aleksandr golovin,4832,0.1676,0.1676,0.2049
aleksandr koksharov,460,0.1957,0.1957,0.1957
