team,player,nname,games,fc_pg,fa_pg,shots_pg,sot_pg,yc_pg
Algeria,Luca Zidane,luca zidane,31,0.0,0.0323,1.0645,0.0,0.0
Algeria,Oussama Benbot,oussama benbot,11,0.0,0.0,0.5455,0.0,0.0909
Algeria,Melvin Mastil,melvin mastil,11,0.0,0.0,0.0,0.0,0.0
Algeria,Aïssa Mandi,aissa mandi,31,0.5484,0.5484,0.4516,0.129,0.2581
Algeria,Ramy Bensebaini,ramy bensebaini,25,1.24,0.64,0.68,0.28,0.24
Algeria,Rayan Aït-Nouri,rayan ait nouri,26,0.6538,0.3846,0.3846,0.0769,0.0769
Algeria,Mohamed Amine Tougai,mohamed amine tougai,5,1.0,1.0,0.6,0.6,0.2
Algeria,Zineddine Belaïd,zineddine belaid,6,0.0,0.1667,1.0,0.1667,0.0
Algeria,Samir Chergui,samir chergui,18,0.7778,0.2222,0.7222,0.2222,0.0556
Algeria,Jaouen Hadjam,jaouen hadjam,7,1.1429,1.0,0.2857,0.0,0.1429
Algeria,Rafik Belghali,rafik belghali,27,0.7407,0.3704,0.7778,0.2222,0.2222
Algeria,Nabil Bentaleb,nabil bentaleb,27,0.5185,0.6667,0.6667,0.2222,0.1111
Algeria,Houssem Aouar,houssem aouar,23,1.0,1.4348,2.087,0.7826,0.1304
Algeria,Hicham Boudaoui,hicham boudaoui,26,0.7308,1.5385,0.8077,0.3462,0.2308
Algeria,Ramiz Zerrouki,ramiz zerrouki,32,1.2812,0.6562,1.0312,0.25,0.0625
Algeria,Farès Chaïbi,fares chaibi,30,0.4667,0.7,1.1667,0.3,0.0667
Algeria,Yassine Titraoui,yassine titraoui,35,0.6286,1.1143,1.5143,0.5714,0.2
Algeria,Ibrahim Maza,ibrahim maza,30,0.6333,1.2,1.8,0.5667,0.0667
Algeria,Riyad Mahrez,riyad mahrez,27,0.4074,0.8519,1.4074,0.3704,0.037
Algeria,Amine Gouiri,amine gouiri,23,0.7391,0.6957,1.6522,0.7391,0.0435
Algeria,Mohamed Amoura,mohamed amoura,30,0.7,0.3667,2.0,0.6333,0.0667
Algeria,Anis Hadj Moussa,anis hadj moussa,30,0.5,1.1667,2.5667,1.0667,0.1333
