ref_norm,referee,club_games,club_cpg,club_ratio
anthony taylor,Anthony Taylor,551,3.878,0.9
michael oliver,Michael Oliver,544,3.597,0.835
danny makkelie,Danny Makkelie,481,3.391,0.787
serdar gozubuyuk,Serdar Gözübüyük,429,3.566,0.828
jesus gil manzano,Jesús Gil Manzano,395,5.278,1.225
clement turpin,Clément Turpin,384,3.547,0.823
craig pawson,Craig Pawson,383,3.883,0.901
willie collum,Willie Collum,368,3.641,0.845
felix zwayer,Felix Zwayer,361,4.651,1.08
bas nijhuis,Bas Nijhuis,356,2.834,0.658
dennis higler,Dennis Higler,350,3.229,0.749
martin atkinson,Martin Atkinson,348,3.434,0.797
john beaton,John Beaton,345,4.113,0.955
mateu lahoz,Mateu Lahoz,336,5.039,1.17
alejandro hernandez hernandez,Alejandro Hernández Hernández,334,5.527,1.283
benoit bastien,Benoît Bastien,333,4.273,0.992
sergey karasev,Sergey Karasev,326,4.405,1.022
jakob kehlet,Jakob Kehlet,326,3.264,0.758
davide massa,Davide Massa,326,4.81,1.116
dr. felix brych,Dr. Felix Brych,323,4.034,0.936
ruddy buquet,Ruddy Buquet,315,4.248,0.986
tobias stieler,Tobias Stieler,312,3.955,0.918
daniel siebert,Daniel Siebert,312,4.324,1.004
carlos del cerro grande,Carlos del Cerro Grande,312,4.846,1.125
mike dean,Mike Dean,310,3.903,0.906
andre marriner,Andre Marriner,310,3.229,0.749
mads kristoffer kristoffersen,Mads-Kristoffer Kristoffersen,309,3.625,0.841
jose maria sanchez martinez,José María Sánchez Martínez,307,5.293,1.229
juan martinez munuera,Juan Martínez Munuera,306,4.863,1.129
daniele orsato,Daniele Orsato,301,5.243,1.217
artur soares dias,Artur Soares Dias,300,4.927,1.144
pol van boekel,Pol van Boekel,297,3.135,0.728
jonathan moss,Jonathan Moss,292,3.384,0.785
bjorn kuipers,Björn Kuipers,289,3.533,0.82
de burgos bengoetxea,De Burgos Bengoetxea,286,4.605,1.069
steven mclean,Steven McLean,284,3.475,0.807
vladislav bezborodov,Vladislav Bezborodov,281,5.014,1.164
kevin clancy,Kevin Clancy,279,4.186,0.972
allard lindhout,Allard Lindhout,275,2.975,0.69
deniz aytekin,Deniz Aytekin,274,4.182,0.971
bobby madden,Bobby Madden,270,3.311,0.769
daniele doveri,Daniele Doveri,267,4.337,1.007
benoit millot,Benoît Millot,265,4.075,0.946
sergey ivanov,Sergey Ivanov,263,4.464,1.036
erik lambrechts,Erik Lambrechts,263,4.331,1.005
anastasios sidiropoulos,Anastasios Sidiropoulos,263,5.529,1.283
joao pinheiro,João Pinheiro,262,4.763,1.106
marco guida,Marco Guida,261,4.793,1.113
halil umut meler,Halil Umut Meler,259,5.039,1.17
francois letexier,François Letexier,258,4.182,0.971
don robertson,Don Robertson,256,3.707,0.86
jeroen manschot,Jeroen Manschot,254,3.362,0.78
jens maae,Jens Maae,253,3.383,0.785
kevin blom,Kevin Blom,253,3.245,0.753
kevin friend,Kevin Friend,252,3.425,0.795
chris kavanagh,Chris Kavanagh,252,3.94,0.915
nicolas laforge,Nicolas Laforge,251,4.964,1.152
stuart attwell,Stuart Attwell,250,3.86,0.896
fabio verissimo,Fábio Veríssimo,250,5.836,1.355
maurizio mariani,Maurizio Mariani,246,4.565,1.06
nick walsh,Nick Walsh,246,4.252,0.987
jochem kamphuis,Jochem Kamphuis,245,3.4,0.789
