event_id,comp,date,referee,yellows,reds,fouls
633790,fifa.world,2022-11-20,Daniele Orsato,6.0,0.0,30.0
633789,fifa.world,2022-11-21,Raphael Claus,2.0,0.0,23.0
633788,fifa.world,2022-11-21,Wilton Pereira Sampaio,3.0,0.0,26.0
633787,fifa.world,2022-11-21,Abdulrahman Al-Jassim,6.0,0.0,25.0
633794,fifa.world,2022-11-22,Slavko Vincici,6.0,0.0,28.0
633791,fifa.world,2022-11-22,César Arturo Ramos Palazuelos,3.0,0.0,19.0
633793,fifa.world,2022-11-22,Chris Beath,3.0,0.0,29.0
633792,fifa.world,2022-11-22,Victor Miguel De Freitas Gomes,3.0,0.0,16.0
633795,fifa.world,2022-11-23,Fernando Rapallini,1.0,0.0,27.0
633797,fifa.world,2022-11-23,Iván Arcides Barton Cisneros,0.0,0.0,20.0
633798,fifa.world,2022-11-23,Mohammed Abulla Hassan Mohamed,2.0,0.0,20.0
633796,fifa.world,2022-11-23,Janny Sikazwe,5.0,0.0,25.0
633801,fifa.world,2022-11-24,Facundo Tello,3.0,0.0,22.0
633799,fifa.world,2022-11-24,Clément Turpin,2.0,0.0,17.0
633800,fifa.world,2022-11-24,Ismail Elfath,6.0,0.0,33.0
633802,fifa.world,2022-11-24,Alireza Faghani,3.0,0.0,19.0
633806,fifa.world,2022-11-25,Mario Escobar,3.0,1.0,19.0
633803,fifa.world,2022-11-25,Antonio Miguel Mateu Lahoz,6.0,0.0,19.0
633805,fifa.world,2022-11-25,Mustapha Ghorbal,1.0,0.0,27.0
633804,fifa.world,2022-11-25,Jesús Valenzuela,0.0,0.0,24.0
633808,fifa.world,2022-11-26,Daniel Siebert,3.0,0.0,31.0
633809,fifa.world,2022-11-26,Wilton Pereira Sampaio,5.0,0.0,33.0
633810,fifa.world,2022-11-26,Szymon Marciniak,3.0,0.0,13.0
633807,fifa.world,2022-11-26,Daniele Orsato,5.0,0.0,34.0
633813,fifa.world,2022-11-27,Michael Oliver,6.0,0.0,31.0
633814,fifa.world,2022-11-27,César Arturo Ramos Palazuelos,2.0,0.0,24.0
633811,fifa.world,2022-11-27,Andrés Matonte,4.0,0.0,18.0
633812,fifa.world,2022-11-27,Danny Makkelie,4.0,0.0,24.0
633816,fifa.world,2022-11-28,Mohammed Abulla Hassan Mohamed,4.0,0.0,21.0
633818,fifa.world,2022-11-28,Anthony Taylor,4.0,0.0,22.0
633815,fifa.world,2022-11-28,Iván Arcides Barton Cisneros,2.0,0.0,27.0
633817,fifa.world,2022-11-28,Alireza Faghani,5.0,0.0,26.0
633819,fifa.world,2022-11-29,Clément Turpin,1.0,0.0,34.0
633821,fifa.world,2022-11-29,Bakary Gassama,1.0,0.0,28.0
633822,fifa.world,2022-11-29,Antonio Miguel Mateu Lahoz,4.0,0.0,24.0
633820,fifa.world,2022-11-29,Slavko Vincici,2.0,0.0,25.0
633826,fifa.world,2022-11-30,Mustapha Ghorbal,3.0,0.0,21.0
633825,fifa.world,2022-11-30,Matthew Conger,1.0,0.0,20.0
633824,fifa.world,2022-11-30,Danny Makkelie,2.0,0.0,17.0
633823,fifa.world,2022-11-30,Michael Oliver,7.0,0.0,38.0
633829,fifa.world,2022-12-01,Raphael Claus,4.0,0.0,28.0
633830,fifa.world,2022-12-01,Anthony Taylor,1.0,0.0,16.0
633827,fifa.world,2022-12-01,Stephanie Frappart,1.0,0.0,12.0
633828,fifa.world,2022-12-01,Victor Miguel De Freitas Gomes,3.0,0.0,15.0
633834,fifa.world,2022-12-02,Daniel Siebert,7.0,0.0,29.0
633832,fifa.world,2022-12-02,Facundo Tello,2.0,0.0,19.0
633831,fifa.world,2022-12-02,Ismail Elfath,5.0,1.0,28.0
633833,fifa.world,2022-12-02,Fernando Rapallini,11.0,0.0,32.0
633835,fifa.world,2022-12-03,Wilton Pereira Sampaio,2.0,0.0,15.0
633836,fifa.world,2022-12-03,Szymon Marciniak,2.0,0.0,23.0
633837,fifa.world,2022-12-04,Jesús Valenzuela,3.0,0.0,18.0
633838,fifa.world,2022-12-04,Iván Arcides Barton Cisneros,1.0,0.0,28.0
633839,fifa.world,2022-12-05,Ismail Elfath,2.0,0.0,29.0
633840,fifa.world,2022-12-05,Clément Turpin,1.0,0.0,21.0
633841,fifa.world,2022-12-06,Fernando Rapallini,2.0,0.0,29.0
633842,fifa.world,2022-12-06,César Arturo Ramos Palazuelos,2.0,0.0,22.0
633843,fifa.world,2022-12-09,Michael Oliver,5.0,0.0,46.0
633844,fifa.world,2022-12-09,Antonio Miguel Mateu Lahoz,14.0,1.0,48.0
633845,fifa.world,2022-12-10,Facundo Tello,2.0,1.0,24.0
633846,fifa.world,2022-12-10,Wilton Pereira Sampaio,4.0,0.0,24.0
633847,fifa.world,2022-12-13,Daniele Orsato,4.0,0.0,23.0
633848,fifa.world,2022-12-14,César Arturo Ramos Palazuelos,1.0,0.0,22.0
633849,fifa.world,2022-12-17,Abdulrahman Al-Jassim,2.0,0.0,24.0
633850,fifa.world,2022-12-18,Szymon Marciniak,8.0,0.0,45.0
760415,fifa.world,2026-06-11,Wilton Pereira Sampaio,3.0,3.0,23.0
760414,fifa.world,2026-06-12,Amin Omar,1.0,0.0,25.0
622112,fifa.worldq.uefa,2022-06-01,Danny Makkelie,5.0,0.0,30.0
633467,fifa.worldq.uefa,2022-06-05,Antonio Miguel Mateu Lahoz,4.0,0.0,14.0
724923,fifa.worldq.uefa,2025-03-21,Andris Treimanis,2.0,0.0,31.0
724925,fifa.worldq.uefa,2025-03-21,Giorgi Kruashvili,2.0,0.0,26.0
724926,fifa.worldq.uefa,2025-03-21,Alejandro José Hernández Hernández,1.0,0.0,16.0
724927,fifa.worldq.uefa,2025-03-21,Simone Sozza,1.0,1.0,21.0
724924,fifa.worldq.uefa,2025-03-21,Anastasios Sidiropoulos ,2.0,0.0,32.0
