event_id,comp,date,team,opponent,home_away,goals_for,goals_against,corners_for,corners_against,yellows_for,yellows_against,reds_for,reds_against,fouls_for,fouls_against,shots_for,shots_against,sot_for,sot_against,offsides_for,offsides_against,tackles_for,tackles_against,saves_for,saves_against,goals_1h_for,cards_1h_for,possession
633790,fifa.world,2022-11-20,Qatar,Ecuador,home,0.0,2.0,1.0,3.0,4.0,2.0,0.0,0.0,15.0,15.0,5.0,6.0,0.0,3.0,3.0,4.0,10.0,15.0,1.0,0.0,0,3,47.1
633790,fifa.world,2022-11-20,Ecuador,Qatar,away,2.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,15.0,15.0,6.0,5.0,3.0,0.0,4.0,3.0,15.0,10.0,0.0,1.0,2,1,52.9
633789,fifa.world,2022-11-21,England,Iran,home,6.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,9.0,14.0,13.0,8.0,7.0,3.0,2.0,2.0,13.0,12.0,1.0,1.0,3,0,78.1
633789,fifa.world,2022-11-21,Iran,England,away,2.0,6.0,0.0,8.0,2.0,0.0,0.0,0.0,14.0,9.0,8.0,13.0,3.0,7.0,2.0,2.0,12.0,13.0,1.0,1.0,0,1,21.9
633788,fifa.world,2022-11-21,Senegal,Netherlands,home,0.0,2.0,6.0,7.0,2.0,1.0,0.0,0.0,13.0,13.0,15.0,10.0,4.0,3.0,2.0,1.0,14.0,10.0,1.0,4.0,0,0,46.7
633788,fifa.world,2022-11-21,Netherlands,Senegal,away,2.0,0.0,7.0,6.0,1.0,2.0,0.0,0.0,13.0,13.0,10.0,15.0,3.0,4.0,1.0,2.0,10.0,14.0,4.0,1.0,0,0,53.3
633787,fifa.world,2022-11-21,United States,Wales,home,1.0,1.0,5.0,3.0,4.0,2.0,0.0,0.0,15.0,10.0,6.0,7.0,1.0,3.0,1.0,1.0,14.0,18.0,2.0,1.0,1,2,58.9
633787,fifa.world,2022-11-21,Wales,United States,away,1.0,1.0,3.0,5.0,2.0,4.0,0.0,0.0,10.0,15.0,7.0,6.0,3.0,1.0,1.0,1.0,18.0,14.0,1.0,2.0,0,2,41.1
633794,fifa.world,2022-11-22,Argentina,Saudi Arabia,home,1.0,2.0,9.0,2.0,0.0,6.0,0.0,0.0,7.0,21.0,15.0,3.0,6.0,2.0,10.0,1.0,17.0,18.0,0.0,5.0,1,0,69.1
633794,fifa.world,2022-11-22,Saudi Arabia,Argentina,away,2.0,1.0,2.0,9.0,6.0,0.0,0.0,0.0,21.0,7.0,3.0,15.0,2.0,6.0,1.0,10.0,18.0,17.0,5.0,0.0,0,0,30.9
633791,fifa.world,2022-11-22,Denmark,Tunisia,home,0.0,0.0,11.0,9.0,2.0,1.0,0.0,0.0,9.0,10.0,11.0,13.0,5.0,1.0,1.0,1.0,12.0,24.0,1.0,5.0,0,1,61.3
633791,fifa.world,2022-11-22,Tunisia,Denmark,away,0.0,0.0,9.0,11.0,1.0,2.0,0.0,0.0,10.0,9.0,13.0,11.0,1.0,5.0,1.0,1.0,24.0,12.0,5.0,1.0,0,0,38.7
633793,fifa.world,2022-11-22,Mexico,Poland,home,0.0,0.0,6.0,5.0,2.0,1.0,0.0,0.0,14.0,15.0,11.0,6.0,4.0,2.0,3.0,0.0,16.0,17.0,2.0,4.0,0,1,60.6
633793,fifa.world,2022-11-22,Poland,Mexico,away,0.0,0.0,5.0,6.0,1.0,2.0,0.0,0.0,15.0,14.0,6.0,11.0,2.0,4.0,0.0,3.0,17.0,16.0,4.0,2.0,0,0,39.4
633792,fifa.world,2022-11-22,France,Australia,home,4.0,1.0,8.0,1.0,0.0,3.0,0.0,0.0,5.0,11.0,23.0,4.0,7.0,1.0,0.0,0.0,20.0,13.0,0.0,2.0,2,0,62.4
633792,fifa.world,2022-11-22,Australia,France,away,1.0,4.0,1.0,8.0,3.0,0.0,0.0,0.0,11.0,5.0,4.0,23.0,1.0,7.0,0.0,0.0,13.0,20.0,2.0,0.0,1,0,37.6
633795,fifa.world,2022-11-23,Morocco,Croatia,home,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,16.0,11.0,8.0,5.0,2.0,2.0,0.0,1.0,21.0,17.0,1.0,2.0,0,0,35.2
633795,fifa.world,2022-11-23,Croatia,Morocco,away,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,11.0,16.0,5.0,8.0,2.0,2.0,1.0,0.0,17.0,21.0,2.0,1.0,0,0,64.8
633797,fifa.world,2022-11-23,Germany,Japan,home,1.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,14.0,26.0,12.0,9.0,4.0,4.0,4.0,11.0,29.0,2.0,8.0,1,0,73.9
633797,fifa.world,2022-11-23,Japan,Germany,away,2.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,14.0,6.0,12.0,26.0,4.0,9.0,4.0,4.0,29.0,11.0,8.0,2.0,0,0,26.1
633798,fifa.world,2022-11-23,Spain,Costa Rica,home,7.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,8.0,12.0,17.0,0.0,8.0,0.0,3.0,7.0,14.0,21.0,0.0,1.0,3,0,81.9
633798,fifa.world,2022-11-23,Costa Rica,Spain,away,0.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,12.0,8.0,0.0,17.0,0.0,8.0,7.0,3.0,21.0,14.0,1.0,0.0,0,0,18.1
633796,fifa.world,2022-11-23,Belgium,Canada,home,1.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,11.0,14.0,9.0,22.0,3.0,3.0,0.0,1.0,19.0,13.0,3.0,2.0,1,1,53.8
633796,fifa.world,2022-11-23,Canada,Belgium,away,0.0,1.0,4.0,4.0,2.0,3.0,0.0,0.0,14.0,11.0,22.0,9.0,3.0,3.0,1.0,0.0,13.0,19.0,2.0,3.0,0,0,46.2
633801,fifa.world,2022-11-24,Switzerland,Cameroon,home,1.0,0.0,11.0,5.0,2.0,1.0,0.0,0.0,12.0,10.0,7.0,8.0,3.0,5.0,2.0,2.0,15.0,12.0,5.0,2.0,0,0,50.8
633801,fifa.world,2022-11-24,Cameroon,Switzerland,away,0.0,1.0,5.0,11.0,1.0,2.0,0.0,0.0,10.0,12.0,8.0,7.0,5.0,3.0,2.0,2.0,12.0,15.0,2.0,5.0,0,1,49.2
633799,fifa.world,2022-11-24,Uruguay,South Korea,home,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,7.0,10.0,10.0,7.0,1.0,0.0,1.0,0.0,16.0,12.0,0.0,1.0,0,0,56.1
633799,fifa.world,2022-11-24,South Korea,Uruguay,away,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,10.0,7.0,7.0,10.0,0.0,1.0,0.0,1.0,12.0,16.0,1.0,0.0,0,0,43.9
633800,fifa.world,2022-11-24,Portugal,Ghana,home,3.0,2.0,3.0,3.0,2.0,4.0,0.0,0.0,14.0,19.0,11.0,9.0,5.0,3.0,1.0,1.0,16.0,14.0,1.0,2.0,0,0,61.8
633800,fifa.world,2022-11-24,Ghana,Portugal,away,2.0,3.0,3.0,3.0,4.0,2.0,0.0,0.0,19.0,14.0,9.0,11.0,3.0,5.0,1.0,1.0,14.0,16.0,2.0,1.0,0,1,38.2
633802,fifa.world,2022-11-24,Brazil,Serbia,home,2.0,0.0,6.0,4.0,0.0,3.0,0.0,0.0,7.0,12.0,23.0,5.0,9.0,0.0,1.0,0.0,17.0,24.0,0.0,7.0,0,0,58.7
633802,fifa.world,2022-11-24,Serbia,Brazil,away,0.0,2.0,4.0,6.0,3.0,0.0,0.0,0.0,12.0,7.0,5.0,23.0,0.0,9.0,0.0,1.0,24.0,17.0,7.0,0.0,0,1,41.3
633806,fifa.world,2022-11-25,Wales,Iran,home,0.0,2.0,2.0,7.0,1.0,2.0,1.0,0.0,9.0,10.0,10.0,21.0,3.0,6.0,2.0,2.0,10.0,19.0,4.0,3.0,0,1,61.9
633806,fifa.world,2022-11-25,Iran,Wales,away,2.0,0.0,7.0,2.0,2.0,1.0,0.0,1.0,10.0,9.0,21.0,10.0,6.0,3.0,2.0,2.0,19.0,10.0,3.0,4.0,0,0,38.1
